Frame_Number,Width_Pixels,Height_Pixels,Area_Pixels,Depth_mm
1761289150227,86,354,30444,
1761289150930,91,357,32487,
1761289151577,89,353,31417,
1761289152263,83,349,28967,
1761289152935,93,341,31713,
1761289153599,89,346,30794,
1761289154279,90,347,31230,
1761289154996,84,352,29568,
1761289155666,87,354,30798,
1761289156389,89,344,30616,
1761289157061,88,343,30184,
1761289157759,89,342,30438,
1761289158380,90,343,30870,
1761289159105,78,355,27690,
1761289159779,72,359,25848,
1761289160453,77,359,27643,
1761289161138,78,360,28080,
1761289161789,81,364,29484,
1761289162487,82,368,30176,
1761289163199,86,364,31304,
1761289163832,87,359,31233,
1761289164532,87,354,30798,
1761289165266,87,355,30885,
1761289165919,88,356,31328,
1761289166562,89,356,31684,
1761289167237,110,345,37950,
1761289167910,114,345,39330,
1761289168610,115,346,39790,
1761289169310,107,352,37664,
1761289170021,100,352,35200,
1761289170698,94,355,33370,
1761289171397,97,355,34435,
1761289172053,103,356,36668,
1761289172759,95,357,33915,
1761289173400,93,359,33387,
1761289174070,97,361,35017,
1761289174807,92,357,32844,
1761289175507,94,356,33464,
1761289176141,100,349,34900,
1761289176813,104,345,35880,
1761289177537,100,350,35000,
1761289178196,102,354,36108,
1761289178786,102,357,36414,
1761289179429,101,356,35956,
1761289180053,103,356,36668,
1761289180736,109,355,38695,
1761289181369,121,354,42834,
1761289182048,118,352,41536,
1761289182740,109,355,38695,
1761289183433,105,354,37170,
1761289184096,99,354,35046,
1761289184768,100,360,36000,
1761289185397,106,358,37948,
1761289186087,113,360,40680,
1761289186756,126,361,45486,
1761289187365,118,360,42480,
1761289187365,27,283,7641,
1761289188020,108,358,38664,
1761289188716,96,355,34080,
1761289189387,95,354,33630,
1761289190009,101,358,36158,
1761289190691,108,360,38880,
1761289191345,117,360,42120,
1761289192018,102,359,36618,
1761289192743,93,355,33015,
1761289193419,93,356,33108,
1761289194113,88,355,31240,
1761289194822,83,356,29548,
1761289195396,91,360,32760,
1761289196103,88,363,31944,
1761289196787,82,361,29602,
1761289197435,78,357,27846,
1761289198124,78,352,27456,
1761289198819,87,346,30102,
